"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Sep 06 22:08:48 EEST 2020","Sun Sep 06 22:15:27 EEST 2020","399329","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
"passed","Sun Sep 06 22:15:30 EEST 2020","Sun Sep 06 22:18:34 EEST 2020","184326","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
"passed","Sun Sep 06 22:08:48 EEST 2020","Sun Sep 06 22:15:07 EEST 2020","378678","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
"passed","Sun Sep 06 22:08:48 EEST 2020","Sun Sep 06 22:15:22 EEST 2020","393976","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
"passed","Sun Sep 06 22:15:26 EEST 2020","Sun Sep 06 22:18:40 EEST 2020","193739","TestGmail","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testcase.LogInSendLetterAndDeleteLetterTest","testSendAndDeleteLetter","testSendAndDeleteLetter","Verify Sending and Deleting of a letter"
